id_siniestro;id_poliza;id_asegurado;id_vehiculo;ramo;cobertura;fecha_ocurrencia;fecha_reporte;monto_reclamado_usd;monto_estimado_usd;monto_pagado_usd;estado;sucursal;ciudad_evento;descripcion;documentos_completos;id_beneficiario;tipo_beneficiario;dias_desde_inicio_poliza;dias_desde_fin_poliza;dias_entre_ocurrencia_reporte;historial_siniestros_asegurado;tuvo_parte_policial;tuvo_testigo;fault_responsable;etiqueta_fraude_simulada;ramo_pol;fecha_inicio;fecha_fin;prima_usd;suma_asegurada_usd;deducible_usd;canal_venta;ciudad;estado_poliza;tipo_cobertura;segmento;antiguedad_anios;ciudad_ase;num_polizas;reclamos_ultimos_12_meses;mora_actual;score_cliente_simulado;placa;chasis;motor;marca;modelo;anio_vehiculo;categoria;valor_comercial_usd;id_proveedor;nombre;tipo;ciudad_prov;antiguedad_anios_prov;lista_restrictiva;reclamos_asociados;porcentaje_casos_observados;monto_promedio_reclamado_usd
SIN-000001;POL-0013169;ASE-006489;VEH-0000001;Vehículos;Responsabilidad Civil;27/12/2023;2/1/2024;250298;2403654;2403654;Pago Total;Guayaquil;Guayaquil;Choque múltiple en la Av. Galo Plaza en condiciones de lluvia. Mi vehículo recibió impacto de dos automotores y presenta afectación en parachoques posterior. Ref. 175364.;Sí;PRV-0019;Taller;224;141;6;0;No;No;Asegurado;0;Vehículos;17/5/2023;16/5/2024;239491;10405509;3000;Banca seguros;Guayaquil;Vencida;Liability;Premium;10;Guayaquil;4;4;Sí;475;GBM-4355;PFKVJ6W8P2XVHAMND;K7V0RGYFFJ;Honda;CR-V;2020;Sport;10730482;PRV-0019;Tecno-Color Pinturas Automotrices;Taller;Machala;23;No;298;436;1098373
SIN-000002;POL-0009823;ASE-004829;VEH-0000002;Vehículos;Choque;18/1/2023;23/1/2023;4961816;4473874;1634697;Anticipo;Manta;Manta;Vehículo asegurado sufrió colisión lateral mientras se encontraba detenido en semáforo en la avenida Av. 6 de Diciembre. El tercero responsable abandonó el lugar antes de la llegada de la policía. Se anexan fotografías del evento. Ref. 379059.;Sí;PRV-0041;Perito;346;19;5;0;Sí;No;Asegurado;0;Vehículos;6/2/2022;6/2/2023;443191;9757918;4000;Venta directa;Manta;Vencida;Collision;Estándar;3;Manta;1;1;No;733;MTN-6778;RHW7UR50Y75GCSAB5;JY0FZ6Z0;Honda;Civic;2017;Sport;8617919;PRV-0041;Perito Aut. R. Andrade;Perito;Portoviejo;16;No;317;347;1118796
SIN-000003;POL-0001182;ASE-000577;VEH-0000003;Vehículos;Choque;27/10/2023;9/11/2023;1200961;1175677;1175677;Pago Total;Guayaquil;Guayaquil;Hago constar que Mientras realizaba la prueba de manejo de El Condado hacia el centro de la ciudad, un motociclista impactó mi vehículo. Daños superficiales en maletero. Estoy disponible para ampliar información si se requiere. Ref. 647248.;Sí;PRV-0015;Taller;92;273;13;1;No;No;Asegurado;0;Vehículos;27/7/2023;26/7/2024;325832;8180163;4000;Web;Guayaquil;Vencida;Collision;Estándar;20;Guayaquil;3;3;No;717;GIN-5101;YAEJ5YGSLMZVYLB7V;R3086T39BU;Honda;Civic;2016;Sport;1043837;PRV-0015;Servi-Frenos Ecuador;Taller;Quito;13;No;313;447;1060956
SIN-000004;POL-0002338;ASE-001129;VEH-0000004;Vehículos;Responsabilidad Civil;10/6/2023;7/7/2023;21041;174506;4668;Anticipo;Ibarra;Ibarra;Para conocimiento de la Compañía: Salí del estacionamiento del centro comercial y un tercero que circulaba en reversa impactó trasera de mi vehículo. Existe video de cámaras del lugar. Solicito se atienda con prontitud el reclamo. Ref. 383960.;Sí;PRV-0024;Taller;346;19;27;1;Sí;No;Tercero;0;Vehículos;29/6/2022;29/6/2023;66034;236700;4000;Banca seguros;Ibarra;Vencida;Liability;Joven;12;Ibarra;5;5;Sí;429;IPX-7222;VED1YPHZD4TE94NK6;FGYN0V8UN;Toyota;Prado;2014;Sport;2818257;PRV-0024;Pintauto Premium;Taller;Guayaquil;21;No;308;552;1121146
SIN-000005;POL-0000263;ASE-000135;VEH-0000005;Vehículos;Choque;30/1/2023;14/2/2023;3022181;2959811;1253862;Pago Parcial;Guayaquil;Guayaquil;Pongo en conocimiento: El día 30/01/2023 circulando por la Panamericana Norte en sentido sur-norte fui impactado en la parte posterior por otro vehículo que no respetó la señalización. El conductor del otro vehículo se dio a la fuga. Ref. 545397.;Sí;PRV-0026;Taller;217;148;15;0;No;No;Tercero;0;Vehículos;27/6/2022;27/6/2023;410243;10353315;4000;Banca seguros;Guayaquil;Vencida;Collision;Joven;1;Guayaquil;4;4;No;679;GMR-6646;Z7L5WUDC25Y5X30U6;5CTCM15JFS;Honda;CR-V;2018;Sport;10616562;PRV-0026;Chevrocenter Servicios;Taller;Machala;24;No;304;395;1172187
SIN-000006;POL-0005634;ASE-002774;VEH-0000006;Vehículos;Choque;27/10/2023;1/11/2023;1593894;1280806;1280806;Pago Total;Loja;Loja;Estacionado frente a domicilio en sector El Condado encuentro vehículo con daños en parachoques posterior sin nota ni datos del responsable. Se presume golpe y fuga. Ref. 312998.;Sí;PRV-0009;Taller;189;176;5;0;No;No;Tercero;0;Vehículos;21/4/2023;20/4/2024;353483;9696797;4000;Banca seguros;Guayaquil;Vencida;Collision;Premium;2;Guayaquil;3;3;No;736;GQR-5051;TJHJ5TER1P9J31ML2;W0DUF1PHI;Honda;Civic;2018;Sport;10323385;PRV-0009;Multi Servicios Vehiculares S.A.;Taller;Portoviejo;6;No;341;235;1056454
SIN-000007;POL-0001233;ASE-000601;VEH-0000007;Vehículos;Choque;4/2/2023;20/2/2023;4710196;3917628;3917628;Pago Total;Quito;Quito;"Hago constar que Pérdida de control del vehículo por desperfecto mecánico en plena Panamericana Norte; impacto contra muro de contención. Daños extensos en parachoques delantero. Solicito gestionar la cobertura conforme a la póliza. Ref. 652718.";Sí;PRV-0021;Taller;265;100;16;1;No;No;Tercero;0;Vehículos;15/5/2022;15/5/2023;345317;9482642;4000;Agente;Quito;Vencida;Collision;Premium;11;Quito;6;6;No;565;PCW-4981;4LB5F0HGHH6L5Z3FG;NWR7T5MNI;Honda;Fit;2016;Sport;8626397;PRV-0021;Taller Mecánico San Francisco;Taller;Loja;18;No;318;283;1121093
SIN-000008;POL-0002845;ASE-001380;VEH-0000008;Vehículos;Choque;3/11/2023;26/3/2024;1471974;1417763;1417763;Pago Total;Ambato;Ambato;Comunico que A las 01:15 del 03/11/2023, en la Vía Daule, otro vehículo invadió mi carril produciendo impacto posterior. Se reporta daño en maletero del vehículo asegurado. Quedo a la espera de la inspección del perito. Ref. 673070.;No;PRV-0015;Taller;292;73;144;1;No;No;Asegurado;0;Vehículos;15/1/2023;15/1/2024;316743;7586458;4000;Banca seguros;Quito;Vencida;Collision;Estándar;5;Quito;1;1;No;843;PTC-3292;MNS0N3SZ3ET10P1JL;IIOP8TM4F;Honda;Fit;2023;Sport;763563;PRV-0015;Servi-Frenos Ecuador;Taller;Quito;13;No;313;447;1060956
SIN-000009;POL-0012973;ASE-006394;VEH-0000009;Vehículos;Choque;23/12/2023;27/12/2023;2425409;2330947;0;Negativa;Manta;Manta;Realizando giro en intersección de Av. Francisco de Orellana con calle Bolívar, fui golpeado en frontal por automotor que circulaba a velocidad excesiva. Hubo testigos del evento. Solicito se atienda con prontitud el reclamo. Ref. 169052.;Sí;PRV-0043;Perito;260;105;4;0;No;Sí;Asegurado;0;Vehículos;7/4/2023;6/4/2024;443861;9937483;4000;Agente;Manta;Vencida;Collision;Estándar;4;Manta;5;5;No;612;MMC-5691;BW5KB2DY0RHGSM4W9;3R7ZSW8S;Honda;Fit;2017;Sport;8335825;PRV-0043;Perito Aut. L. Salazar;Perito;Cuenca;9;No;336;268;109396
SIN-000010;POL-0011517;ASE-005693;VEH-0000010;Vehículos;Choque;18/4/2023;19/4/2023;4787964;4628817;0;Reserva;Quito;Quito;Salí del estacionamiento del centro comercial y un tercero que circulaba en reversa impactó posterior de mi vehículo. Existe video de cámaras del lugar. Se anexan fotografías del evento. Ref. 369319.;Sí;PRV-0017;Taller;73;292;1;3;No;No;Asegurado;0;Vehículos;4/2/2023;4/2/2024;405989;7585706;4000;Broker;Quito;Vencida;All Perils;Estándar;7;Quito;2;2;No;808;PVC-2305;2RKF9U9DW0JSRNRGK;5Z5ATYMFE;Ford;EcoSport;2014;Utility;10069154;PRV-0017;Latonería Internacional;Taller;Guayaquil;23;No;353;2323;1324524
